ticker,Jumlah,Kategori,Nama,Pengendali,Persentase
BOLA,1307252520.0,Lebih dari 5%,Pieter Tanuri,True,21.79
BOLT,1350000000.0,Lebih dari 5%,PT Garuda Multi Investama ,True,57.6
BOSS,346035986.0,Lebih dari 5%,PT Megah Prakarsa Utama ,True,24.72
BPFI,1324988580.0,Lebih dari 5%,"Batavia Prosperindo Internasional,PT",True,74.33
BPII,268290000.0,Lebih dari 5%,Gold Star Investment Pte. Ltd.,False,47.72
BPTR,96227100.0,Lebih dari 5%,PT Victoria Insurance Tbk,False,6.21
BRAM,25231500.0,Lebih dari 5%,PT RISJADSON SURYATAMA,False,5.61
BRIS,7092761655.0,Lebih dari 5%,PT Bank Rakyat Indonesia (Persero) Tbk,True,73.0
BRMS,6748830800.0,Lebih dari 5%,PT Bumi Resources Tbk,True,9.5
BRNA,534252162.0,Lebih dari 5%,PT Dwi Satrya Utama,True,54.57
BRPT,67389605970.0,Lebih dari 5%,PRAJOGO PANGESTU,True,72.16
BSDE,6461120464.0,Lebih dari 5%,PT Paraga Arta Mida,False,30.52
BSIM,10150092040.0,Lebih dari 5%,PT. SINARMAS MULTIARTHA Tbk,True,58.13
BSSR,1308280674.0,Lebih dari 5%,PT WAHANA SENTOSA CEMERLANG,True,50.001
BSWD,1055488000.0,Lebih dari 5%,Bank Of India,True,76.0
BTEK,0.0,Lebih dari 5%,Golden Harvest Cocoa Ltd,False,0.0
BTEL,5000439000.0,Lebih dari 5%, PT MAHINDO AGUNG SENTOSA,False,13.6
BTON,575000000.0,Lebih dari 5%,GWIE GUNAWAN,True,79.86
BTPN,7532311297.0,Lebih dari 5%,Sumitomo Mitsui Banking Corporation,True,92.43
BTPS,5392590000.0,Lebih dari 5%,PT Bank BTPN Tbk,True,70.0
BUDI,1401271833.0,Lebih dari 5%,PT Budi Delta Swakarya,True,31.1463
BUKK,1124928000.0,Lebih dari 5%,PT Denaya Cakra Cipta,True,42.6
