ticker,Nama,Jabatan,Afiliasi
CLPI,SANTOSO JIEMY,DIREKTUR UTAMA,True
CMNP,Fitria Yusuf,DIREKTUR UTAMA,True
CMPP,Dendy Kurniawan,DIREKTUR UTAMA,False
CNKO,Benny Wirawansa,PRESIDEN DIREKTUR,False
CNTX,Ho Soo Boon,PRESIDEN DIREKTUR,False
COCO,Reinald Siswanto,DIREKTUR UTAMA,True
COWL,Irwan Susanto,PRESIDEN DIREKTUR,True
CPIN,Tjiu Thomas Effendy,PRESIDEN DIREKTUR,True
CPRI,Jansen Surbakti,DIREKTUR UTAMA,True
CPRO,Hendri Laiman,DIREKTUR UTAMA,True
CSAP,Budyanto Totong,DIREKTUR UTAMA,False
CSIS,AU BINTORO,DIREKTUR UTAMA,True
CSMI,Arriola Arthur Raphael ,DIREKTUR UTAMA,True
CSRA,Gita Sapta Adi,DIREKTUR UTAMA,True
CTBN,Satya Heragandhi,DIREKTUR UTAMA,True
CTRA,Candra Ciputra,DIREKTUR UTAMA,True
CTTH,Taufik Johannes,DIREKTUR UTAMA,True
DADA,Adam,DIREKTUR UTAMA,True
DART,VENTJE CHANDRAPUTRA SUARDANA,DIREKTUR UTAMA,True
DAYA,Lilis Mulyawati,PRESIDEN DIREKTUR,True
DEAL,Nofrisel,DIREKTUR UTAMA,True
DEFI,Asnardi,DIREKTUR UTAMA,True
DEWA,Saptari Hoedaja,PRESIDEN DIREKTUR,False
DFAM,Billy Dahlan,DIREKTUR UTAMA,True
DGIK,Djoko Eko Suprastowo,DIREKTUR UTAMA,True
DIGI,Wiliam Martaputra,DIREKTUR UTAMA,True
DILD,Hendro Santoso Gondokusumo,DIREKTUR UTAMA,True
DIVA,Raymond Loho,DIREKTUR UTAMA,True
DKFT,Kiki Hamidjaja,DIREKTUR UTAMA,True
DLTA,Jose Daniel Abellon Javier,DIREKTUR UTAMA,True
DMAS,Hongky Jeffry Nantung,PRESIDEN DIREKTUR,False
DMMX,Budiasto Kusuma,DIREKTUR UTAMA,True
DMND,Chen Tsen Nan,DIREKTUR UTAMA,True
DNAR,Lim Cheol Jin,DIREKTUR UTAMA,True
