ticker,AkhirPeriode,KAP1,Nama,SigningPartner,TahunBuku,TanggalTahunBuku,TglOpini
GMFI,1911-01-01T00:00:00,,"Tanudiredja, Wibisana, Rintis & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
GMTD,,,,,,,
GOLD,,,,,,,
GOLL,,,,,,,
GOOD,1911-01-01T00:00:00,,"Purwantono, Sungkoro & Surja",,0.0,2020-12-31T00:00:00,1911-01-01T00:00:00
GPRA,,,,,,,
GREN,,,,,,,
GRHA,,,,,,,
GSMF,,,,,,,
GTBO,,,,,,,
GWSA,,,,,,,
GZCO,,,,,,,
HADE,,,,,,,
HDFA,,,,,,,
HDIT,,,,,,,
HDTX,,,,,,,
HEAL,1911-01-01T00:00:00,,"Purwantono, Sungkoro & Surja",,0.0,2017-12-31T00:00:00,1911-01-01T00:00:00
HELI,,,,,,,
HERO,,,,,,,
HEXA,,,,,,,
HITS,,,,,,,
HKMU,,,,,,,
HMSP,,,,,,,
HOKI,,,,,,,
HOME,,,,,,,
HOMI,1911-01-01T00:00:00,,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
HOTL,,,,,,,
HRME,1911-01-01T00:00:00,,"Kanaka Puradiredja, Suhartono",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
HRTA,1911-01-01T00:00:00,,Tanubrata Sutanto Fahmi Bambang dan Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
HRUM,,,,,,,
IATA,,,,,,,
IBFN,,,,,,,
IBST,,,,,,,
ICBP,,,,,,,
ICON,,,,,,,
IDPR,,,,,,,
IFII,1911-01-01T00:00:00,,"Teramihardja, Pradhono & Chandra",,0.0,2019-06-30T00:00:00,1911-01-01T00:00:00
IFSH,,,,,,,
IGAR,,,,,,,
IIKP,,,,,,,
IKAI,,,,,,,
IKAN,1911-01-01T00:00:00,,"Jamaludin, Ardi, Sukimto & Rekan",,0.0,2019-07-31T00:00:00,1911-01-01T00:00:00
IKBI,,,,,,,
IMAS,,,,,,,
IMJS,,,,,,,
IMPC,,,,,,,
INAF,,,,,,,
INAI,,,,,,,
INCI,,,,,,,
INCO,,,,,,,
INDF,,,,,,,
INDO,1911-01-01T00:00:00,,Hertanto Grace Karunawan,,0.0,2019-06-30T00:00:00,1911-01-01T00:00:00
INDR,,,,,,,
INDS,,,,,,,
INDX,,,,,,,
INDY,,,,,,,
INKP,,,,,,,
INOV,,,,,,,
INPC,,,,,,,
INPP,,,,,,,
INPS,,,,,,,
INRU,,,,,,,
INSA,,,,,,,
INTA,,,,,,,
INTD,,,,,,,
INTP,,,,,,,
IPCC,,,,,,,
IPCM,,,,,,,
IPOL,,,,,,,
IPTV,1911-01-01T00:00:00,,"Kanaka Puradiredja, Suhartono",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
IRRA,,,,,,,
ISAT,,,,,,,
ISSP,,,,,,,
ITIC,1911-01-01T00:00:00,,"Johan, Malonda, Mustika & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
ITMA,,,,,,,
ITMG,,,,,,,
JAST,1911-01-01T00:00:00,,Heliantono & Rekan,,0.0,2020-12-31T00:00:00,1911-01-01T00:00:00
JAWA,,,,,,,
JAYA,,,,,,,
JECC,,,,,,,
JGLE,,,,,,,
JIHD,,,,,,,
JKON,,,,,,,
JKSW,,,,,,,
JMAS,1911-01-01T00:00:00,,"Husni, Mucharam & Rasidi",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
JPFA,,,,,,,
JRPT,,,,,,,
JSKY,1911-01-01T00:00:00,,"Jamaludin, Ardi, Sukimto & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
JSMR,,,,,,,
JSPT,,,,,,,
JTPE,,,,,,,
KAEF,,,,,,,
KARW,,,,,,,
KAYU,,,,,,,
KBAG,1911-01-01T00:00:00,,Tjahjadi & Tamara,,0.0,2019-09-30T00:00:00,1911-01-01T00:00:00
KBLI,,,,,,,
KBLM,,,,,,,
KBLV,,,,,,,
KBRI,,,,,,,
KDSI,,,,,,,
KEEN,,,,,,,
KEJU,1911-01-01T00:00:00,,"Purwantono,Sungkoro,& Surja",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
KIAS,,,,,,,
KICI,,,,,,,
KIJA,,,,,,,
KINO,,,,,,,
KIOS,1911-01-01T00:00:00,,Morhan & Rekan,,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
KJEN,,,,,,,
KKGI,,,,,,,
KLBF,,,,,,,
KMDS,1911-01-01T00:00:00,,"Herman, Dody Tanumihardja & Rekan",,0.0,2020-03-31T00:00:00,1911-01-01T00:00:00
KMTR,,,,,,,
KOBX,,,,,,,
KOIN,,,,,,,
KONI,,,,,,,
KOPI,,,,,,,
KOTA,,,,,,,
KPAL,,,,,,,
KPAS,,,,,,,
KPIG,,,,,,,
KRAH,,,,,,,
KRAS,,,,,,,
KREN,,,,,,,
LAND,,,,,,,
LAPD,,,,,,,
LCGP,,,,,,,
LCKM,,,,,,,
LEAD,,,,,,,
LIFE,,,,,,,
LINK,,,,,,,
LION,,,,,,,
LMAS,,,,,,,
LMPI,,,,,,,
LMSH,,,,,,,
LPCK,,,,,,,
LPGI,,,,,,,
LPIN,,,,,,,
LPKR,,,,,,,
LPLI,,,,,,,
LPPF,,,,,,,
LPPS,,,,,,,
LRNA,,,,,,,
LSIP,,,,,,,
LTLS,,,,,,,
LUCK,1911-01-01T00:00:00,,"Kosasih, Nurdiyaman, Mulyadi, Tjahjo & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
MABA,,,,,,,
MAGP,,,,,,,
MAIN,,,,,,,
MAMI,,,,,,,
MAPA,,,,,,,
MAPB,,,,,,,
MAPI,,,,,,,
MARI,,,,,,,
MARK,,,,,,,
MASA,,,,,,,
MAYA,,,,,,,
MBAP,,,,,,,
MBSS,,,,,,,
MBTO,,,,,,,
MCAS,,,,,,,
MCOR,,,,,,,
MDIA,,,,,,,
MDKA,,,,,,,
MDKI,,,,,,,
MDLN,,,,,,,
MDRN,,,,,,,
MEDC,,,,,,,
MEGA,,,,,,,
MERK,,,,,,,
META,,,,,,,
MFIN,,,,,,,
MFMI,,,,,,,
MGNA,,,,,,,
MGRO,,,,,,,
MICE,,,,,,,
MIDI,,,,,,,
MIKA,,,,,,,
MINA,,,,,,,
MIRA,,,,,,,
MITI,,,,,,,
MKNT,,,,,,,
MKPI,,,,,,,
MLBI,,,,,,,
MLIA,,,,,,,
MLPL,,,,,,,
MLPT,,,,,,,
MMLP,,,,,,,
MNCN,,,,,,,
MOLI,,,,,,,
MPMX,,,,,,,
MPOW,,,,,,,
MPPA,,,,,,,
MPRO,,,,,,,
MRAT,,,,,,,
MREI,,,,,,,
MSIN,1911-01-01T00:00:00,,"Kanaka Puradiredja, Suhartono",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
MSKY,,,,,,,
MTDL,,,,,,,
MTFN,,,,,,,
MTLA,,,,,,,
MTPS,1911-01-01T00:00:00,,"Herman, Dody Tanumihardja & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
MTRA,,,,,,,
MTSM,,,,,,,
MTWI,,,,,,,
MYOH,,,,,,,
MYOR,,,,,,,
MYRX,,,,,,,
MYTX,,,,,,,
NASA,1911-01-01T00:00:00,,"Herman, Dody Tanumihardja & Rekan",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
NATO,1911-01-01T00:00:00,,"Antadaya, Helmiansyah dan Yassirli",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
NELY,,,,,,,
NFCX,,,,,,,
NICK,,,,,,,
NIKL,,,,,,,
NIPS,,,,,,,
NIRO,,,,,,,
NISP,,,,,,,
NOBU,,,,,,,
NRCA,,,,,,,
NUSA,,,,,,,
NZIA,1911-01-01T00:00:00,,"Kanaka Puradiredja, Suhartono",,0.0,2019-12-31T00:00:00,1911-01-01T00:00:00
OASA,,,,,,,
OCAP,,,,,,,
OKAS,,,,,,,
OMRE,,,,,,,
OPMS,,,,,,,
PADI,,,,,,,
PALM,,,,,,,
PAMG,,,,,,,
