No,IndexSummaryID,Date,IndexCode,Previous,Highest,Lowest,Close,NumberOfStock,Change,Volume,Value,Frequency,MarketCapital,Year
10,68762,2015-06-15T00:00:00,TRADE,916.078,915.545,901.24,903.569,113.0,-12.509,891684885.0,948402536395.0,33349.0,668578416279787.0,2015
11,68763,2015-06-15T00:00:00,MANUFACTUR,1252.527,1249.995,1222.757,1222.757,142.0,-29.77,827312603.0,717660023855.0,33149.0,1659081325759610.0,2015
12,68764,2015-06-15T00:00:00,LQ45,846.058,843.417,825.117,825.117,45.0,-20.941,737578751.0,2428117770840.0,101071.0,3069947098317430.0,2015
13,68765,2015-06-15T00:00:00,JII,665.658,664.004,648.038,648.038,30.0,-17.62,519679325.0,1316029975665.0,66062.0,1870937860488940.0,2015
14,68766,2015-06-15T00:00:00,MBX,1422.417,1419.31,1391.954,1391.954,272.0,-30.463,2494139290.0,3201533521100.0,166545.0,4407117011880920.0,2015
15,68767,2015-06-15T00:00:00,DBX,683.275,683.985,676.43,678.263,240.0,-5.012,1791185185.0,772333843145.0,31036.0,515224040732379.0,2015
16,68768,2015-06-15T00:00:00,KOMPAS100,1067.89,1065.214,1041.17,1041.17,100.0,-26.72,2767701389.0,3202402548155.0,157279.0,3426173611147430.0,2015
17,68769,2015-06-15T00:00:00,BISNIS-27,416.704,415.665,406.335,406.335,27.0,-10.369,396679541.0,1779105589150.0,65244.0,2394250760505900.0,2015
18,68770,2015-06-15T00:00:00,PEFINDO25,424.102,423.576,413.233,413.233,25.0,-10.869,260493740.0,246789840700.0,15780.0,138216239410232.0,2015
19,68771,2015-06-15T00:00:00,SRI-KEHATI,286.533,285.643,279.933,279.933,25.0,-6.6,310252565.0,1634182912850.0,52290.0,2348379397056200.0,2015
20,68772,2015-06-15T00:00:00,ISSI,159.403,159.078,155.74,155.74,314.0,-3.663,3116943783.0,2587314339945.0,140572.0,2823272782053090.0,2015
21,68773,2015-06-15T00:00:00,IDX30,437.889,436.51,427.119,427.119,30.0,-10.77,459410750.0,2011384398775.0,74725.0,2762879605180600.0,2015
22,68774,2015-06-15T00:00:00,INFOBANK15,534.764,533.725,523.773,523.773,15.0,-10.991,178247913.0,944803041450.0,19883.0,1049065484055070.0,2015
23,68775,2015-06-15T00:00:00,SMinfra18,333.118,332.781,328.439,328.439,18.0,-4.679,200111250.0,506911647550.0,29701.0,830307486365735.0,2015
24,68776,2015-06-15T00:00:00,MNC36,263.842,262.995,257.659,257.659,36.0,-6.183,556161286.0,1863496488715.0,73222.0,2391796718768460.0,2015
25,68777,2015-06-15T00:00:00,Investor33,346.872,345.76,338.398,338.398,33.0,-8.474,551669651.0,1952557693440.0,73461.0,2760033261947650.0,2015
1,68803,2015-06-16T00:00:00,COMPOSITE,4837.794,4892.505,4826.13,4872.599,512.0,34.805,4635620531.0,4894924874531.0,237392.0,4951647615560910.0,2015
2,68804,2015-06-16T00:00:00,AGRI,2075.63,2073.531,2022.621,2073.531,21.0,-2.099,758305283.0,676303710900.0,23390.0,142685551509835.0,2015
3,68805,2015-06-16T00:00:00,MINING,1134.952,1149.154,1130.982,1142.945,41.0,7.993,479596965.0,172535781965.0,16918.0,213664663350637.0,2015
4,68806,2015-06-16T00:00:00,BASIC-IND,427.384,430.19,425.435,428.025,65.0,0.641,646489564.0,448188865875.0,13507.0,300456521615743.0,2015
5,68807,2015-06-16T00:00:00,MISC-IND,1186.275,1204.71,1178.422,1204.71,41.0,18.435,304434122.0,309451559850.0,12139.0,343327960200878.0,2015
6,68808,2015-06-16T00:00:00,CONSUMER,2154.891,2191.425,2151.454,2156.627,36.0,1.736,77230866.0,212467698505.0,31352.0,1017734019600170.0,2015
7,68809,2015-06-16T00:00:00,PROPERTY,480.459,487.944,476.372,485.71,57.0,5.251,1059602689.0,634603264128.0,44364.0,349789596683162.0,2015
8,68810,2015-06-16T00:00:00,INFRASTRUC,1026.028,1037.672,1025.683,1031.471,52.0,5.443,289630937.0,492719007153.0,22012.0,663481762149822.0,2015
9,68811,2015-06-16T00:00:00,FINANCE,686.101,698.729,681.752,695.208,86.0,9.107,294095701.0,1173090311285.0,29216.0,1249973522250810.0,2015
10,68812,2015-06-16T00:00:00,TRADE,903.569,912.615,905.682,906.217,113.0,2.648,726234404.0,775564674870.0,44494.0,670534018199859.0,2015
11,68813,2015-06-16T00:00:00,MANUFACTUR,1222.757,1238.121,1220.327,1228.464,142.0,5.707,1028154552.0,970108124230.0,56998.0,1661518501416790.0,2015
12,68814,2015-06-16T00:00:00,LQ45,825.117,839.229,823.389,834.319,45.0,9.202,1108308182.0,3550954856475.0,128113.0,3104185998340660.0,2015
13,68815,2015-06-16T00:00:00,JII,648.038,658.128,647.163,653.033,30.0,4.995,864913168.0,2194267290515.0,85176.0,1885359610552380.0,2015
14,68816,2015-06-16T00:00:00,MBX,1391.954,1409.537,1388.015,1403.324,272.0,11.37,2778129458.0,4211578737273.0,186869.0,4436695756462860.0,2015
15,68817,2015-06-16T00:00:00,DBX,678.263,681.643,676.721,677.903,240.0,-0.36,1857491073.0,683346137258.0,50523.0,514951859098048.0,2015
16,68818,2015-06-16T00:00:00,KOMPAS100,1041.17,1057.672,1038.143,1051.546,100.0,10.376,3172402075.0,4277171921153.0,189020.0,3460316458357640.0,2015
